,year,area,台数,車種
645,2002,天王寺,2514.0,小型貨物
646,2002,生野,539.0,小型特殊自動車
647,2002,都島,26576.0,自動車総数
648,2002,東成,6252.0,普通乗用車
649,2002,淀川,7612.0,小型貨物
650,2002,港,6314.0,普通乗用車
651,2002,大正,6014.0,普通乗用車
652,2002,西成,6851.0,普通乗用車
653,2002,福島,4817.0,普通乗用車
654,2002,都島,7368.0,普通乗用車
655,2002,北,9984.0,普通乗用車
656,2002,西成,103.0,大型特種
657,2002,東住吉,26.0,被けん引貨物
658,2002,西淀川,188.0,被けん引貨物
659,2002,天王寺,1.0,被けん引貨物
660,2002,住之江,4321.0,小型貨物
661,2002,天王寺,5526.0,普通乗用車
662,2002,住之江,2186.0,被けん引貨物
663,2002,北,77.0,被けん引貨物
664,2002,都島,3.0,被けん引貨物
665,2002,中央,10200.0,普通乗用車
666,2002,東成,375.0,小型特殊自動車
667,2002,鶴見,3518.0,小型貨物
668,2002,城東,4555.0,小型貨物
669,2002,東淀川,54603.0,自動車総数
670,2002,生野,4621.0,小型貨物
671,2002,東成,3430.0,小型貨物
672,2002,東淀川,181.0,小型特殊自動車
673,2002,港,8638.0,小型乗用車
674,2002,淀川,2.0,電気小型自動車
675,2002,西成,1.0,電気小型自動車
676,2002,旭,7001.0,普通乗用車
677,2002,鶴見,9570.0,普通乗用車
678,2002,東住吉,317.0,電気自動車総数
679,2002,北,8628.0,小型貨物
680,2002,城東,12059.0,普通乗用車
681,2002,西淀川,8650.0,普通乗用車
682,2002,西,10977.0,小型乗用車
683,2002,中央,16681.0,小型乗用車
684,2002,城東,311.0,小型特殊自動車
685,2002,西成,190.0,小型特殊自動車
686,2002,阿倍野,8119.0,普通乗用車
687,2002,鶴見,287.0,小型特殊自動車
688,2002,都島,2818.0,小型貨物
689,2002,此花,7552.0,小型乗用車
690,2002,福島,6603.0,小型乗用車
691,2002,大正,204.0,小型特殊自動車
692,2002,旭,10197.0,小型乗用車
693,2002,鶴見,13726.0,小型乗用車
694,2002,東住吉,4548.0,小型貨物
695,2002,西淀川,12400.0,小型乗用車
696,2002,平野,7253.0,小型貨物
697,2002,東淀川,1138.0,特種用途車
698,2002,阿倍野,80.0,小型特殊自動車
