,バス,乗用車総数,地域,大型特種,小型乗用車,小型二輪,小型特殊自動車,小型貨物,年度,普通乗用車,普通車貨物,特種用途車,自動車総数,被けん引貨物,貨物自動車総数,軽自動車,電気小型特殊自動車,電気小型自動車,電気自動車総数
128,24,22970,鶴見,167,12962,897.0,273,2854,2006,10008,1884,644.0,38312,51,4789,8548,39.0,0.0,39.0
129,41,16484,旭,48,9370,874.0,86,1808,2006,7114,399,291.0,25839,5,2212,5803,22.0,0.0,22.0
130,69,23790,生野,101,13544,963.0,525,3747,2006,10246,782,613.0,41569,5,4534,10974,137.0,0.0,137.0
131,97,14655,東成,55,8087,618.0,350,2933,2006,6568,942,382.0,25743,27,3902,5684,114.0,0.0,114.0
132,132,31916,東淀川,198,18604,1780.0,173,3730,2006,13312,1078,931.0,51865,4,4812,11923,92.0,0.0,92.0
133,120,29888,城東,217,17076,1561.0,286,3728,2006,12812,979,913.0,47771,19,4726,10060,89.0,0.0,89.0
134,74,21463,西淀川,390,12178,885.0,388,4249,2006,9285,2861,1143.0,38927,219,7329,7255,76.0,0.0,76.0
135,11,10099,浪速,195,5416,435.0,236,2980,2006,4683,820,713.0,20126,14,3814,4623,46.0,3.0,49.0
136,15,11726,天王寺,31,5477,473.0,122,2056,2006,6249,220,151.0,18525,0,2276,3731,40.0,0.0,40.0
137,129,14408,大正,330,8116,569.0,192,2690,2006,6292,2471,825.0,28727,526,5687,6587,21.0,0.0,21.0
138,324,14246,港,922,7952,704.0,279,2703,2006,6294,2051,799.0,28740,678,5432,6034,77.0,0.0,77.0
139,10,19912,西,262,10946,689.0,440,6816,2006,8966,1118,484.0,36431,299,8233,6401,149.0,5.0,154.0
140,37,27809,中央,178,16278,946.0,166,7936,2006,11531,600,460.0,45177,13,8549,7032,65.0,0.0,65.0
141,240,12443,此花,299,7048,556.0,187,2333,2006,5395,1856,1111.0,24124,303,4492,4796,35.0,0.0,35.0
142,19,11613,福島,83,6249,520.0,1586,3242,2006,5364,939,459.0,22860,51,4232,4348,904.0,0.0,904.0
143,66,36032,淀川,42,21409,1508.0,239,6687,2006,14623,1073,640.0,57289,39,7799,10963,77.0,0.0,77.0
144,35,15921,旭,0,8798,868.0,82,1788,2007,7123,383,304.0,25440,4,2175,6006,23.0,0.0,23.0
145,116,29276,城東,0,16272,1572.0,279,3662,2007,13004,991,883.0,47328,20,4673,10314,87.0,0.0,87.0
146,31,22502,鶴見,0,12340,935.0,278,2774,2007,10162,1734,619.0,37878,29,4537,8802,37.0,0.0,37.0
147,13,17523,阿倍野,0,8511,741.0,79,1401,2007,9012,236,244.0,25240,2,1639,4983,8.0,0.0,8.0
148,54,15070,西成,0,8217,657.0,170,2700,2007,6853,1320,762.0,28228,45,4065,7353,23.0,0.0,23.0
149,138,27361,住吉,0,15150,1030.0,69,2239,2007,12211,537,363.0,42115,19,2795,9914,10.0,1.0,11.0
150,27,25451,東住吉,0,13789,1038.0,572,3399,2007,11662,1031,755.0,43175,28,4458,10752,295.0,2.0,297.0
151,170,42442,平野,0,23793,1453.0,492,5927,2007,18649,1989,1054.0,72856,97,8013,19123,137.0,0.0,137.0
152,70,22766,生野,0,12482,952.0,517,3636,2007,10284,777,608.0,40539,4,4417,11109,127.0,0.0,127.0
153,250,27072,住之江,0,15472,921.0,358,3794,2007,11600,4198,1831.0,52210,2939,10931,9975,209.0,1.0,210.0
154,94,14180,東成,0,7639,600.0,343,2853,2007,6541,917,371.0,25263,27,3797,5823,118.0,0.0,118.0
155,15,11545,天王寺,0,5154,462.0,120,1981,2007,6391,188,150.0,18200,0,2169,3708,42.0,0.0,42.0
156,68,35099,淀川,0,20349,1504.0,239,6607,2007,14750,1012,579.0,56293,20,7639,11124,85.0,0.0,85.0
